S0,K,moneyness,r,sigma,T,n,option_type,Greek,CV_MC,Original_TW,Corrected_TW,Original_TW_Error,Corrected_TW_Error,Original_TW_Abs_Error,Corrected_TW_Abs_Error,Improved
100,80.0,0.8,0.05,0.1,0.5,12,call,Delta,0.9886330716571656,0.9886326066591344,0.9877073411515802,-4.64998031191044e-07,-0.0009257305055854204,4.64998031191044e-07,0.0009257305055854204,False
100,80.0,0.8,0.05,0.1,0.5,12,call,Vega,0.0008646171014703441,5.719034135154288e-06,-0.03994867560663806,-0.0008588980673351898,-0.040813292708108406,0.0008588980673351898,0.040813292708108406,False
100,80.0,0.8,0.05,0.1,0.5,12,call,Rho,16.45874117121693,16.458497794520355,16.458497794520355,-0.00024337669657370498,-0.00024337669657370498,0.00024337669657370498,0.00024337669657370498,False
100,80.0,0.8,0.05,0.1,0.5,12,call,Theta_T,1.6459605788924403,1.6458503520162449,1.609956732682578,-0.00011022687619544058,-0.03600384620986219,0.00011022687619544058,0.03600384620986219,False
100,80.0,0.8,0.05,0.1,0.5,52,call,Delta,0.987839964710453,0.9878409366053376,0.9874535151909924,9.718948845716113e-07,-0.00038644951946054107,9.718948845716113e-07,0.00038644951946054107,False
100,80.0,0.8,0.05,0.1,0.5,52,call,Vega,-0.002475902565635124,1.4749588217455312e-06,-0.03431465913017462,0.0024773775244568697,-0.031838756564539494,0.0024773775244568697,0.031838756564539494,False
100,80.0,0.8,0.05,0.1,0.5,52,call,Rho,14.89502461961223,14.89415728405774,14.89415728405774,-0.0008673355544885908,-0.0008673355544885908,0.0008673355544885908,0.0008673355544885908,False
100,80.0,0.8,0.05,0.1,0.5,52,call,Theta_T,1.4892548777620274,1.489415881083005,1.4518461668109595,0.00016100332097757075,-0.0374087109510679,0.00016100332097757075,0.0374087109510679,False
100,80.0,0.8,0.05,0.1,1.0,12,call,Delta,0.9774368639375908,0.9774238018378689,0.9770444364954223,-1.3062099721850018e-05,-0.000392427442168497,1.3062099721850018e-05,0.000392427442168497,False
100,80.0,0.8,0.05,0.1,1.0,12,call,Vega,0.004507620040783422,0.005664804287874858,0.03807126635635427,0.0011571842470914362,0.03356364631557085,0.0011571842470914362,0.03356364631557085,False
100,80.0,0.8,0.05,0.1,1.0,12,call,Rho,31.70318436685804,31.70208852539602,31.70208852539602,-0.0010958414620176882,-0.0010958414620176882,0.0010958414620176882,0.0010958414620176882,False
100,80.0,0.8,0.05,0.1,1.0,12,call,Theta_T,1.5853924501701133,1.5853866315878928,1.5647526243311116,-5.818582220484814e-06,-0.020639825839001702,5.818582220484814e-06,0.020639825839001702,False
100,80.0,0.8,0.05,0.1,1.0,52,call,Delta,0.9758688534689597,0.9758700473683746,0.9758397927410556,1.1938994148863458e-06,-2.906072790409553e-05,1.1938994148863458e-06,2.906072790409553e-05,False
100,80.0,0.8,0.05,0.1,1.0,52,call,Vega,-0.0022425544745630077,0.0027707081979855275,0.026103605746286007,0.005013262672548535,0.028346160220849015,0.005013262672548535,0.028346160220849015,False
100,80.0,0.8,0.05,0.1,1.0,52,call,Rho,28.65104844065769,28.648605270991112,28.648605270991112,-0.002443169666577205,-0.002443169666577205,0.002443169666577205,0.002443169666577205,False
100,80.0,0.8,0.05,0.1,1.0,52,call,Theta_T,1.4324397050094717,1.4325681993341721,1.4084558618081022,0.00012849432470041222,-0.02398384320136948,0.00012849432470041222,0.02398384320136948,False
100,80.0,0.8,0.05,0.1,2.0,12,call,Delta,0.9551140604861885,0.9549590141845421,0.9575293597491807,-0.00015504630164642208,0.002415299262992221,0.00015504630164642208,0.002415299262992221,False
100,80.0,0.8,0.05,0.1,2.0,12,call,Vega,0.15172245586825284,0.19499687719637393,0.12451811108249444,0.04327442132812109,-0.027204344785758394,0.04327442132812109,0.027204344785758394,True
100,80.0,0.8,0.05,0.1,2.0,12,call,Rho,58.70702154718188,58.69005403503991,58.69005403503991,-0.01696751214197434,-0.01696751214197434,0.01696751214197434,0.01696751214197434,False
100,80.0,0.8,0.05,0.1,2.0,12,call,Theta_T,1.471464167250609,1.4721205403419635,1.5218195456034689,0.0006563730913544674,0.05035537835285986,0.0006563730913544674,0.05035537835285986,False
